"Time","Message","Severity"
"4/19/2022 8:43 AM","Clearing existing Azure connection","Information"
"4/19/2022 8:43 AM","Clearing existing Azure context 
","Information"
"4/19/2022 8:43 AM","Clearing of existing connection and context completed.","Information"
"4/19/2022 8:46 AM","
Working in Subscription: 5Q Centry","Information"
"4/19/2022 8:46 AM","Listing Azure Logic Apps workspace from 5Q Centry","Information"
"4/19/2022 8:46 AM","Creating ARM Template","Information"
"4/19/2022 8:46 AM","@{properties=; id=/subscriptions/a1a21640-263b-45e1-9ad1-be5b4e1eb6ad/resourceGroups/5Q-RG-Playbooks/providers/Microsoft.Logic/workflows/5QC.NotifyDataConnectorFail; name=5QC.NotifyDataConnectorFail; type=Microsoft.Logic/workflows; location=southcentralus; tags=}","Information"
"4/19/2022 8:46 AM","@{kind=V1; properties=; id=/subscriptions/a1a21640-263b-45e1-9ad1-be5b4e1eb6ad/resourceGroups/5Q-RG-Playbooks/providers/Microsoft.Web/connections/azuresentinel-8; name=azuresentinel-8; type=Microsoft.Web/connections; location=southcentralus}","Information"
"4/19/2022 8:46 AM","@{properties=; id=/subscriptions/a1a21640-263b-45e1-9ad1-be5b4e1eb6ad/providers/Microsoft.Web/locations/southcentralus/managedApis/azuresentinel; name=azuresentinel; type=Microsoft.Web/locations/managedApis; location=southcentralus}","Information"
"4/19/2022 8:46 AM","@{kind=V1; properties=; id=/subscriptions/a1a21640-263b-45e1-9ad1-be5b4e1eb6ad/resourceGroups/5Q-RG-Playbooks/providers/Microsoft.Web/connections/teams-4; name=teams-4; type=Microsoft.Web/connections; location=southcentralus}","Information"
"4/19/2022 8:46 AM","@{properties=; id=/subscriptions/a1a21640-263b-45e1-9ad1-be5b4e1eb6ad/providers/Microsoft.Web/locations/southcentralus/managedApis/teams; name=teams; type=Microsoft.Web/locations/managedApis; location=southcentralus}","Information"
"4/19/2022 8:46 AM","ARM Template created successfully at C:\Users\JakeDerkowski\OneDrive - 5Q Cloud\Github\SentinelPlaybooks\5QC.NotifyDataConnectorFail\azuredeploy.json","Information"
